,station,date,pm25,latitude,longitude,sourceid,pm25_xgb,pm25_rf,pm25_lgbm
137,"Pulo Mas, Kayu Putih",2025-03-06,27.941176470588236,-6.1834,106.8874,IQAir,32.807148,28.466762539551176,30.15939731915173
138,"Pulo Mas, Kayu Putih",2025-03-06,27.941176470588236,-6.1834,106.8874,IQAir,32.795776,28.51076694530894,30.17442963454767
139,"Pulo Mas, Kayu Putih",2025-03-06,27.941176470588236,-6.1834,106.8874,IQAir,32.795776,28.51076694530894,30.17442963454767
140,"Pulo Mas, Kayu Putih 2",2025-03-06,29.842105263157894,-6.1841,106.8873,IQAir,32.807148,28.466762539551176,30.15939731915173
141,"Pulo Mas, Kayu Putih 2",2025-03-06,29.842105263157894,-6.1841,106.8873,IQAir,32.807148,28.466762539551176,30.15939731915173
142,"Pulo Mas, Kayu Putih 2",2025-03-06,29.842105263157894,-6.1841,106.8873,IQAir,32.795776,28.51076694530894,30.17442963454767
143,"Pulo Mas, Kayu Putih 2",2025-03-06,29.842105263157894,-6.1841,106.8873,IQAir,32.795776,28.51076694530894,30.17442963454767
144,Puretrex Indonesia - Tegal Alur / Kalideres,2025-03-06,37.130434782608695,-6.1175,106.7274,IQAir,29.622082,30.88451240115696,30.66973194925573
145,Puretrex Indonesia - Tegal Alur / Kalideres,2025-03-06,37.130434782608695,-6.1175,106.7274,IQAir,29.61245,30.98493866178725,30.654580747905396
146,Puri Indah,2025-03-06,32.75,-6.1869,106.7369,IQAir,33.00346,34.228662766350645,33.21087543655026
147,Puri Indah,2025-03-06,32.75,-6.1869,106.7369,IQAir,33.279682,34.44426810900371,33.74029583625829
148,Rembang Bukit,2025-03-06,32.8235294117647,-6.2805,106.7789,IQAir,34.536137,36.23018085055883,35.64376717197905
149,Rembang Bukit,2025-03-06,32.8235294117647,-6.2805,106.7789,IQAir,34.589558,36.09994106504654,35.5444731975537
150,RespoKare Mask - Wisma 76,2025-03-06,30.045454545454547,-6.1909,106.798,IQAir,33.10226,35.0650525432163,33.47920924039003
151,RespoKare Mask - Wisma 76,2025-03-06,30.045454545454547,-6.1909,106.798,IQAir,33.139156,34.90115986400181,33.549794372923856
152,Semanggi,2025-03-06,38.80952380952381,-6.2171,106.8115,IQAir,32.35114,34.07999292585585,33.69811600351132
153,Semanggi,2025-03-06,38.80952380952381,-6.2171,106.8115,IQAir,32.354893,33.95936479462517,33.80053434252083
154,Simprug THL Area,2025-03-06,28.5,-6.2279,106.7936,IQAir,35.095306,36.86529542181227,35.804022470925226
155,Simprug THL Area,2025-03-06,28.5,-6.2279,106.7936,IQAir,35.205982,36.3607020494673,35.45581591821112
156,TANGKAS SPORTS CENTRE,2025-03-06,32.68181818181818,-6.1689,106.7772,IQAir,33.555923,34.65991268687778,32.81119207555582
157,TANGKAS SPORTS CENTRE,2025-03-06,32.68181818181818,-6.1689,106.7772,IQAir,33.422115,34.697171726226806,32.80319062152944
158,Taman Patra,2025-03-06,36.78947368421053,-6.2362,106.8326,IQAir,36.70502,36.616743022071,37.44014721414103
159,Taman Patra,2025-03-06,36.78947368421053,-6.2362,106.8326,IQAir,36.1091,36.22862775060866,37.49034747908732
160,Taman Resort Mediterania,2025-03-06,32.08181818181818,-6.12,106.767,IQAir,33.25217,31.668808790035957,32.572391724471004
161,Taman Resort Mediterania,2025-03-06,32.08181818181818,-6.12,106.767,IQAir,33.25217,31.668808790035957,32.572391724471004
162,Taman Resort Mediterania,2025-03-06,32.08181818181818,-6.12,106.767,IQAir,33.079502,31.782339200108048,32.484702445222574
163,Taman Resort Mediterania,2025-03-06,32.08181818181818,-6.12,106.767,IQAir,33.079502,31.782339200108048,32.484702445222574
164,The RBS - AirVisual Outdoor,2025-03-06,33.27777777777778,-6.2291,106.8024,IQAir,33.40112,35.83936159451802,35.603495671933416
165,The RBS - AirVisual Outdoor,2025-03-06,33.27777777777778,-6.2291,106.8024,IQAir,33.229347,35.611335276497734,35.31846920313664
166,US Embassy 2,2025-03-06,21.82600623213059,-6.2367,106.7932,JakartaRendahEmisi,32.28238,35.32494654973349,32.26980742209512
167,US Embassy 2,2025-03-06,21.82600623213059,-6.2367,106.7932,JakartaRendahEmisi,32.207,35.04894006941054,32.20373635535953
