,station,date,pm25,latitude,longitude,sourceid,pm25_xgb,pm25_rf,pm25_lgbm
180,DKJ05 Kebun Jeruk,2025-10-05,54.92000000000001,-6.192,106.7708,UdaraJakarta,57.92881,54.72721761572177,55.11531936152215
181,DKJ05 Kebun Jeruk,2025-10-05,54.92000000000001,-6.192,106.7708,UdaraJakarta,58.040817,54.93643917290045,55.908250449289135
182,DKJ31 Rusun Marunda,2025-10-05,64.24208333333333,-6.0966,106.963,UdaraJakarta,62.491833,63.45457426624149,64.77584428339085
183,DKJ31 Rusun Marunda,2025-10-05,64.24208333333333,-6.0966,106.963,UdaraJakarta,62.491833,63.45457426624149,64.77584428339085
184,DKJ31 Rusun Marunda,2025-10-05,64.24208333333333,-6.0966,106.963,UdaraJakarta,62.491833,63.32485031404142,64.77584428339085
185,DKJ31 Rusun Marunda,2025-10-05,64.24208333333333,-6.0966,106.963,UdaraJakarta,62.491833,63.32485031404142,64.77584428339085
188,"Duitku PG, Kebon Jeruk",2025-10-05,48.73913043478261,-6.1916,106.7588,IQAir,51.76202,52.21169759416407,47.22087836131938
189,"Duitku PG, Kebon Jeruk",2025-10-05,48.73913043478261,-6.1916,106.7588,IQAir,51.76202,52.21169759416407,47.22087836131938
190,"Duitku PG, Kebon Jeruk",2025-10-05,48.73913043478261,-6.1916,106.7588,IQAir,51.08531,52.018803544527415,47.814009452173465
191,"Duitku PG, Kebon Jeruk",2025-10-05,48.73913043478261,-6.1916,106.7588,IQAir,51.08531,52.018803544527415,47.814009452173465
192,ERASMUS HUIS DUTCH CULTURAL CENTER,2025-10-05,42.18571428571429,-6.2356,106.8278,IQAir,38.962643,38.96136057930667,38.96260815563125
193,Gading Harmony,2025-10-05,50.09473684210526,-6.1656,106.8995,IQAir,38.962643,38.96136057930667,38.96260815563125
194,Graha LMU,2025-10-05,63.27777777777778,-6.1839,106.9227,IQAir,61.282215,60.9181210814582,66.45203887266636
195,Graha LMU,2025-10-05,63.27777777777778,-6.1839,106.9227,IQAir,61.451992,60.96303301069473,66.45312237457256
196,Gran Melia Jakarta,2025-10-05,55.81818181818182,-6.2348,106.83,IQAir,38.962643,38.96136057930667,38.96260815563125
197,INDODAX,2025-10-05,48.64166666666667,-6.2122,106.8214,IQAir,52.732002,49.06052405078888,49.06117194560575
198,INDODAX,2025-10-05,48.64166666666667,-6.2122,106.8214,IQAir,52.789642,48.90985376752924,49.81403555743631
203,Jakarta-Selatan-CasaGrande,2025-10-05,50.95238095238095,-6.222,106.842,IQAir,38.962643,38.96136057930667,38.96260815563125
204,Jeruk Purut,2025-10-05,60.81818181818182,-6.2842,106.8118,IQAir,62.636658,57.972780935499394,63.68061188345321
205,Jeruk Purut,2025-10-05,60.81818181818182,-6.2842,106.8118,IQAir,62.94722,57.84959813012016,63.79287558770209
206,Jimbaran 2,2025-10-05,42.4,-6.1201,106.8571,IQAir,46.884384,48.167228717803965,48.68654410895338
207,Jimbaran 2,2025-10-05,42.4,-6.1201,106.8571,IQAir,46.96163,48.46700312508478,48.644249278118586
216,KRN,2025-10-05,45.68421052631579,-6.1439,106.899,IQAir,38.962643,38.96136057930667,38.96260815563125
219,Kemang Dalam IX,2025-10-05,48.86363636363637,-6.2683,106.8192,IQAir,38.962643,38.96136057930667,38.96260815563125
220,Kemang Timur V,2025-10-05,49.04545454545455,-6.263,106.8259,IQAir,38.962643,38.96136057930667,38.96260815563125
221,Kemang V,2025-10-05,55.59090909090909,-6.2631,106.8205,IQAir,38.962643,38.96136057930667,38.96260815563125
222,Kemayoran,2025-10-05,43.16315789473684,-6.1617,106.8414,IQAir,43.32522,44.75180979874148,42.13249857361906
223,Kemayoran,2025-10-05,43.16315789473684,-6.1617,106.8414,IQAir,43.107845,44.84841612511601,42.500816627511966
